Nama Pengguna,Rating,Waktu,Komentar
Didim Prihadi,5.0,Diedit 7 tahun lalu,"Setiap hari minggu pagi ada pasar kaget, ada senam bersama, pasar kuliner serba ada. Cocok untuk jalan pagi bawa keluarga. Jajanan anak sampai jajanan ibu-ibu. Kalau hari biasa karena jalannya lebar dan sepi suka dipakai untuk yg belajar mobil atau motor."
Firman Nurdiana,5.0,9 tahun lalu,"Stadium terbesar persib yang mempunyai desain modern, tempatnya sangat luas tetapi tempat parkirnya kurang rapih, hati hati buat kalian yang nonton bawa sepeda motor karena sering kehilangan spare part sepeda motor yang di copot"
Fadhil Arkan,5.0,7 tahun lalu,"Bagusss sekalii, tempat parkir sangat luas, tempat beribadah ada, nyaman"
sabrianovski,5.0,3 bulan lalu,Akses transportasi umum & Ojol sangat susah apalagi sehabis pertandingan
billy febrians,5.0,4 tahun lalu,Area luarnya Tempat terindah buat anak nongkrong dan olahraga pagi masyarakat yg doyan jalan jalan... Bangunan naya keren sangat ke modern modern an..... Bangga jadi orang bandung
Rizki Fazar Nurdiansyah,1.0,7 tahun lalu,"Toilet Tidak Berfungsi, Kotor, Mushola Kotor, Area Parkir Penuh Dengan Rumput dan Ilalang, Parkir Tidak Aman, Terlalu Banyak LSM dan Preman,PR Buat Bpk Ridwan Kamil dan Bpk Wali Kota, Stadion Yang Megah Tanpa Maintenance Akan Hancur, Sayang Asset Tidak Dirawat"
SSN INDONESIA,5.0,3 tahun lalu,"Tempatnya luas,setiap sabtu dan minggu selalu di tunggu-tunggu karena ada pasar pagi yang sangat rame di setiap jalan GBLA"
Raqsan J,5.0,8 tahun lalu,"Stadion dengan arsitektur yang menarik, memberikan kesan tersendiri juka berkunjung kesana."
SG GOLDEN JB NICKI,5.0,4 bulan lalu,mantep baru pertama kali ke stadion nonton tim kebanggan 🤩💙🔥🚀
Shofwan Naufal Dzaki,5.0,11 bulan lalu,"Tempat yang sangat luar biasa bagi Bobotoh Persib, senang bisa merasakan atmosfer yang luar biasa dari Bobotoh"
dedi kusmana,5.0,7 tahun lalu,Gelora bandung lautan api... Tempat para pendukung persib menyaksikan kebanggaan nya berlaga..
Ujang Galon,3.0,Diedit 2 tahun lalu,"Atmosfer yang luar biasa, pengalaman yang luar biasa bersua kembali di tribun"
Dadang Nurdiansyah,5.0,3 tahun lalu,Stadion kebanggan persib bandung..stadion nya luas sekali..areal parkir juga luas..saran untuk toilet nya air nya di tambah..supaya yg mau ke toilet nyaman
Najma Annisa S,5.0,4 tahun lalu,"Untuk kami yg baru pertamakali jualan ini sangat menyenangkan , walaupun jualannya hanya setiap hari minggu akan tetapi ini sangat menguntungkan karna dengan ini kami memiliki pengalaman baru yaitu pengalaman berdagang , jika kalian mau , kami jualan ricebox hanya 10k saja dari yg asalnya 15k jika mau kalian bisa datang ke dekat gerbang nya di sekitar situ kami jualan 🤗"
Wahyu Reda,4.0,7 tahun lalu,"Baik untuk jalan jalan dan latihan mobil,  jadi hati hati lihat kiri kanan karena banyak yg belajar mengendarai mobil, Akses masuk kurang lebar,  jadi siap siap macet hingga >20 menit"
nur rohmah,5.0,5 tahun lalu,"pertama kesini seneng banget tempatnya luas parah bersih juga bisa buat tempat latihan nyetir mobil atau motor gaakan riskan karna jarang bangettttt kendaraan yang lewat tapi jalanannya luas banget,, ada juga beberapa tukang dagang jadi mayan banget abis cape nyetir bisa jajan hihi"
Angga Dhermawan,5.0,7 tahun lalu,"GBLA (Gelora Bandung Lautan Api) selain tempat ajang pertandingan sepak bola.GBLA pun adah tempat Sarana olahraga terbaik di kota bandung. Setiap harinya pasti ada masyarakat yang berolah raga,dari mulai joging,senam,dan lain sebaginya.. Kalo hari minggu tiba...jangankan yg olah raga.di pinggir jalan nya pun banyak aneka jajanan makanan maupun belanja apapun juga ada..jadi suasanna nya nyaman dengan sajian nuansa serba ada disini.. Saya lahir di bandung dan saya bangga akan keindahan bandung terbasuk GBLA ( GELORA BANDUNG LAUTAN API.)"
IIN UDEL,5.0,3 bulan lalu,Persib bandung aja ke mba fika di Indonesia dan Inggris di rumah dengan orang lain dan kamu di dalam dalam dalam dalam
Sunt Pds,5.0,4 tahun lalu,Tempat dalam gelora gak masuk. Kita cm di area luar. Area parkir kelihatan gak terurus sehingga banyak rumput tinggi. Area pendukung seperti jalan mulus didukung warung warung kakilima yg menjajakan makanan.
Iqbal Sungkawa Putra,5.0,7 tahun lalu,"Tempat parkirnya luas, akses menuju stadion pun tidak susah, wc didalam stadion lumayan bagus, tribun nya nyaman, apalagi kalo persib main stadionnya jadi nambah bagus"
Ayu S M,5.0,3 tahun lalu,"Stadion nya sih udh oke, tinggal di basmi para calo tiket nya, sama perketat keamanan nya.. agar yg tidak bertiket tidak bisa masuk sembarangan.."
Ade Sutansyah,4.0,10 bulan lalu,Stadionnya keren baguss tapi sayang tempat sampah masih minim
Jim Bronk,5.0,5 tahun lalu,tempat para penggila kulit bundar buat selfi...biasanya grup bola akan menyewa bekerjasama dg grup lain utk memperingan biaya sewa yg mahal denger2 sampe diatas 5 juta utk bbrp jam...aq cmn dpt maen 30 mnit heuy
Taofik Sopian,3.0,3 tahun lalu,Sebetulnya lapangan GBLA cukup megah ya dari luar ataupun dari dalam stadion. Cuma untuk fasilitas seperti WC dan mushola harus lebih terawat lagi. Dan untuk di dalam stadion saya usulkan ada layar digital untuk supporter biar kaya di Eropa gitu bisa liat replay atau penonton bisa tau kalo kita lagi si shoot kamera😁
Ridha A,3.0,2 tahun lalu,Sarana prasarana nya masih butuh banyak peningkatan dan perbaikan
Irzarhdn,5.0,8 tahun lalu,"Gelora Bandung Lautan Api adalah salah satu stadion kebanggan warga Bandung, Jawa Barat, hingga Indonesia dan Homebase dari Club kebanggaan Jawa Barat yaitu PERSIB BANDUNG"
FAISAL FARIS,4.0,2 tahun lalu,Stadion gelora bandung lautan api dilihat dari dalam kereta api. Bentuk atap ikonik dengan kondisi sekitar yang masih dipenuhi area persawahan.
Bagja Tinekanan,5.0,6 tahun lalu,udara nya masih segar bersih enak digunakan untuknolah raga bersama keluarga.
Syifa Azhari,4.0,4 tahun lalu,"Banyak makanan enak di hari minggu. Asik buat sepedahan, lari, badminton senam juga bisa. Agak penuh juga. Parkir penuh. Jgn lupa di pake kunci gembok. Awas juga banyak copet. Pake masker buat protokol kesehatan nya ya."
Zalu Tea,5.0,2 tahun lalu,Sangat buat warga bandung punya stadion semegah ni...cuma 1 lahan parkir nya belum aman 100%
Ded Sober,5.0,7 tahun lalu,"Meupakan Stadion Kebanggaan Warga Bandung atau Jawa Barat, Dengan desain arsitekturnya yang modern pantas saja yang berkunjung ke Stadion bukan cuma untuk menghadiri Event Olahraga saja, melainkan ada juga yang hanya sekedar untuk berfoto atau berSelfie ria.  Good Job Bandung !"
Haryanto Deni,5.0,3 bulan lalu,Enak parkir nya cuman kurang perawatan
Alwan Muhtarom,5.0,8 tahun lalu,"Fasilitas sebetulnya sudah lumayan mantap, sudah cocok lah untuk standard internasional. Bisa di pakai lah untuk piala dunia. Tinggal manusianya yang harus menjaga dan merawat karna gbla sudah menjadi ikon kota bandung, siapa lagi yang merawat kalau bukan kita"
Ny Amelia Pravita,3.0,7 tahun lalu,"Stadionnya bagus gede luas, hnya sayang aja parkiran mobil dan motor tdk dipisah. Jd mobil yg mau keluar, terhalang oleh banyaknya motor yg parkir. Tdk ada petugas parkir jg yg mengatur, kalau untuk jajan2 selama pertandingan sih bnyak. Hnya untuk fasilitas toilet dan penerangan lampu diarea tangga masuk ke tribun rasanya perlu ditambah. Saat pertandingan berlangsung, tdk diperbolehkan keluar sebelum 15 menit menuju jadwal selesai. Untuk yg bawa balita/bayi, sebaiknya pilih VIP aja (spertinya) karna di tribun bnyak asap rokok."
Robby Pribadi Setiawan,5.0,4 bulan lalu,GBLA trmasuk stadion yg nyaman utk nonton sama keluarga
Ari Irkham,5.0,5 bulan lalu,"GBLA, Rumah Persib, Rumah Kebanggaan kita"
Isal Isal,5.0,2 bulan lalu,mantapppp bagussss sunset nyaaaa kualitas bersih bangetttt
Muhamad Fahrul,5.0,4 bulan lalu,Stadion megah fasilitas pendukung terjamin kualitas stadion sangat sangat mewa
Dhany Wibowo,5.0,3 tahun lalu,"Gerbang Biru ada Pecel Banyumas dan Mendoan banyumas,asli orang buntu worthed bgt buat yang kangen Banyumas,rasanya Ngena harganya ngena"
Iwan Anshory Yusuf,3.0,5 tahun lalu,"Halaman luarnya kurang terjaga kebersihannya, area dalam pagarnya pun sekarang tidak terawat, rumput ilalang tumbuh tinggi, dan di masa pandemi sekarang ini pengunjung tidak diperbolehkan masuk kedalam area yang dipagari."
ali musa,4.0,9 tahun lalu,"Tempatnya nyaman ,harmonis,luas.tapi sampah sampah masih tetap berserakan terutama di gerbang masuk Gelora..."
pras teo,5.0,Diedit 3 tahun lalu,"Tempatnya cocok untuk berolahraga dan mencari jajanan, apalagi d hari minggu, banyak pilihan jajanan selepas berolahraga...Tempatnya biasa ramai di sabtu dan minggu hari"
Faza Maulana Ihsan,4.0,7 tahun lalu,"Mau nonton persib ? Disini tempatnya, recommended buat view nya. Mantepppp. Bisa sebats sebats manja hahahaha. Overall recommended view buat nonton daahh ada harga ada kualitas kawan kawan bobotohhhhhh."
Ira Santa,5.0,2 tahun lalu,Pengalaman pertama nyetadionn. Seruuu dan PERSIBNYA MENANG!!!! Tempatnya juga enakeunnn🥰👍🏻
Irsan Hidayat,5.0,4 bulan lalu,"Jalan nya mantep, tempat parkir luas, GBLA Terbaik 💙"
R Hana Amalia,5.0,4 tahun lalu,"Tempat main, olahraga..jalan2..ngemil..sarapan pagi..cuci mata..lengkaaappp☺😆"
Mas Ikhsan,5.0,4 tahun lalu,"Sungguh luar biasa stadion yang berada di Bandung Jawa Barat ini.ini adalah pertama kali saya menginjakan kaki di GBLA,kesan pertama yang saya dapatkan adalah ke megahan yang dimiliki oleh stadion ini.di sekitaran stadion waktu itu karena waktu menunjukan siang menuju sore jadi agak sepi,dan ada juga pedagang yang berjualan di area stadion GBLA ini.di sana kalian bisa jajan dan menikmati indahnya pemandangan sawah dan kemegahan stadion GBLA"
Akbar Fitra Nur Robi,5.0,9 bulan lalu,fasilitas bagus cuman perlu diperhatikan kembali kebersihan dan kerapihan karna masih banyak rumput liar yang tumbuh di sekitaran parkiran
edwin wahyudin,3.0,4 tahun lalu,"Suasana pagi untuk berolahraga di sekitar enak dan nyaman, baik sekadar joging, bersepeda, atau nongkrong di warung. Sayang, sekitar stadion kurang terawat. Rumput2 sudah tinggi. Butuh perhatian lebih."
Azzizah 0710,4.0,7 tahun lalu,Bagus  banget apalagi buat yang hobby poto2 kaya aku wlaupun gak terlalau suka bola tapi kalo tentang tempat ini saya suka 😊😊
Risma Dewi Dahlianti,5.0,6 tahun lalu,Stadion nya sangat besar. Gelora bandung lautan api dipakai saat ada pertandingan sepak bola..
DEDDY ISKANDAR,5.0,5 tahun lalu,"Luar biasa deh pokok nya selan bisa sehat olah raga, kita bisa menikmati jajanan kuliner dari mulai seupan taleus, roti bakar, ketan bakar dan masih banyak lagi, apalagi urusan cuci mata wow pokonya rugi kalau ga berkunjunh ke GBLA tapi guys yang paling enak hari sabtu ya, kalau senin sampai jumat aga sepi dan jajanan kuliner ga terlalu ramai, kalau minggu juga banyaknya yg dagang kaya pasar, jadi yang pas mah berkunjungnya hari sabtu guys, mantap deh pokonya"
info dunia,1.0,7 tahun lalu,Wc nya kacau banyak bau tai dan air pipis jorok karna airnya gk ngalir
Fajar Ard,5.0,5 tahun lalu,Olahraga biar sehat. Jadi jgn halangi kami utk berolahraga dgn mengatasnamakan corona
Puty Prakacita,3.0,7 tahun lalu,"Sebenernya ini stadion bagus banget!!!! Tapi sayangnya banyak tangan tangan ga bertanggung jawab yg merusak, banyak tangan tangan jail. Yg ngejaga nya juga kurang perhatian"
Agvi Firdaus,5.0,6 tahun lalu,Semoga stadion kebanggaan warga Kota Bandung ini dapat menjadi home-based untuk Persib
nuryadi masterhose,5.0,2 bulan lalu,Stadion bagus parkir luas dan team nya jago
Lalampahan Mang itok,3.0,3 bulan lalu,Stadion nya bagus cuma tempat parkirnya gak memadai
nurul nazmi,5.0,5 tahun lalu,"Tempat yg cocok untuk olah raga bareng keluarga, walaupun blum boleh masuk ke dalam. Juga cocok untuk anak latihan sepeda.. Satu2nya GOR yg besar dan ada di Bandung timur, apalagi kalo persib main bola di sini. Rame banget.. Jika sdh lancar, bisa akses dari jalan tol padaleunyi. Tp tidak tahu kapan bisa di gunakan lg."
Reza Pahlepi,5.0,9 bulan lalu,"Bersih, luas dan petugasnya ramah"
M Rifqi DJW,5.0,5 tahun lalu,"Buat jalan2 sore lumayan, buat olah raga, bersepeda, joging, kalo haro2 biasa sepi ramenya cuman sore buat ngabuburit, Hari minggu rame karena ada pasar dadakan"
andy kusumayadi,5.0,Diedit 9 bulan lalu,Stadion Kebanggaan Masyarakat Jawa Barat khususnya Bandung |  Bangkit PERSIB
M Charis,4.0,setahun lalu,Tidak bisa sembarangan masuk walaupun bukan matchday jadi hanya bisa foto diluarnya saja
Chris Aditya,5.0,setahun lalu,tempat santai favorit sblm seramai skrng..
al.reza de.silalahi,5.0,6 tahun lalu,"Kemarun sengaja nyempatin ngedrone di stadion gelora bandung lautan api atau disingkat stadion Gelira BLA. Sayang sekali persib udah lama gak main disini. Jadi beberapa bagian dari bangunan stadion sudah mulai terlihat rusak, disamping akses masuknya yang bisa dibilang sempit, jadi kalau persib main pasti terjadi kemacetan dimana-mana, atau sekitar cibiru dan gede bage."
Diah Rohana,5.0,Diedit 4 tahun lalu,"Stadion bola yang besar, sayang sedang pandemi jd nggak bisa masuk ke dalam"
znll lll,5.0,7 tahun lalu,Suka sekali jika stadion seperti ini dijadikan tempat tabligh akbar.
DMR,1.0,3 tahun lalu,"Berharap kedepannya panitia keamanannya bisa lebih banyak personilnya dan tegas menindak pelanggar jangan sampai ada jebolan pintu masuk, dan bobotoh yg ga punya tiket juga harus sadar diri jangan maksa masuk. Fans yg sebenarnya itu mendukung kemajuan tim salah satunya dengan membeli tiket nonton langsung dan membeli merchandise asli!"
SAFRIANI -,5.0,Diedit 4 tahun lalu,Amann disiplin tentram. .  jayalah kebanggaan maunggyy biruku #persibbandungjuara
Fadil Rambey,3.0,8 tahun lalu,Fasilitas pendukung harus lebih ditingkatkan lagi.
Yanti Nyebelin,5.0,7 tahun lalu,"Kerennnnnn Tp toiletnya ampun dah, super jorok, apa karna begitu banyak nya orang apa gimana ya, tiap toilet aku jajal kotor bahkan ada yg mampet"
Leoardo Leon,5.0,4 bulan lalu,Salah satu stadion terbesar di indonesia tempat yang sangat imdah
dudin j,5.0,Diedit 3 tahun lalu,"Stadion kebanggaan masyarakat Bandung umumnya jawabarat...  Stadion berkapasitas lebih dari 20.000 dan memiliki standar internasional sering dipake laga sepak bola timnas atau laga home Persib Bandung, sayang... Tempat parkir yang luas dan toiletnya kurang terurus"
Budi Wijayanto,3.0,7 tahun lalu,"Stadion bertaraf international, hanya fasilitas kurang dirawat dg baik dan tanpa pengelolaan parkir yg baik."
Diki Saparudin,5.0,9 bulan lalu,semoga semakin baik perawatannya apalagi toiletnya banyak yg rusak dan ga ada airnya. mana selalu antri air ga ada wih pokonya.
Yayan Bandung,5.0,4 tahun lalu,Stadion ke banggaan masyarakat jawa barat semoga terjaga semua sarana dan fasilitasnya
fafa tiwi,5.0,4 bulan lalu,Stadion nya bagus walaupun belum pernah ke situ tapi aku fans Persib 💙💙
Herman Suherman,4.0,7 tahun lalu,Tempat sy mengais rezeki di hari minggu serta tempat olahraga joging dan membawa bermain si kecil
Khaidir anwar sani,4.0,2 tahun lalu,Tempat yang jadi homebase persib Bandung.gak perlu khawatir nonton pertandingan sepakbola Indonesia disini.dimulai dari sistem penjualan tiket yg memanfaatkan teknologi menggunakan aplikasi.penjagaan di stadion juga berlapis lapis dimulai dr luar stadion. Akses ke kawasan stadion dibatasi hanya untuk yg sudah memegang tiket pertandingan
Winda Desianty,5.0,7 tahun lalu,"Gelora bandung lautan api, memang home untuk tim kebanggan kami persib bandung. .stadium yg aman untuk para cewe, ibu ibu, maupun anak2..yg ingin mendukung lngsung tim kebanggan.."
rasmihsan,5.0,4 bulan lalu,Persib juara deuiii
Noki Kurnia Megantara,5.0,7 tahun lalu,"Stadion gelora bandung lautan api atmosfir persib yg luar biasa,.pemandangan pinggir2 jalan yg sangat indah,.is the best"
Cucu Ilman,5.0,5 tahun lalu,"Stadion kebanggaan orang bandung, di hari biasa bnyak orang berolah raga dan banyak pula pedagang kaki lima berjejeran di sekitar stadion"
Hartono Bagaswara,3.0,6 tahun lalu,"Sebenarnya temptnya bagus & luas, sayangnya warga & Pemkot Bdg kurang peduli & tdk punya rasa memiliki stadion tsb, akibatnya kelihatan kurang terawat & banyk tanaman liar tumbuh disekeliling stadion tsb..."
Dinda Tepiane,5.0,5 bulan lalu,"Harii Minggu jalan pagi, sambil cari jajanan☺️"
Muhammad Rendra Sudradjat,5.0,4 tahun lalu,Bagusin aja yg dudukduduk tempat senam yg aman dluar aja
Kodrat WirawanFauzi,5.0,8 tahun lalu,"Enak buat lari, tp hari biasa ya guys cikidaw"
Ndah Sulis,4.0,8 tahun lalu,Saya kesini sih cuma buat sekedar olah raga di hari minggu pagi ga sampe masuk ke stadion cuma di pelataran eh yepatbya di jalan depan stadionnya disini tiap hari minggu slalu ada pasar kaget buat sekedar olahraga atau wisata kuliner atau juga belanja2 yang mines makin ke sini penjual nya makin banyak jadi rebutan sama lahan parkir dampaknya makin sedikit juga lahan buat olah raga pagi daaannn ga ada toilet umum jadi klo kebelet kamu harus cari masjid terdekat 😄😄😄
Idnas Nawamreh,5.0,4 tahun lalu,Pengalaman yg sangat berkesan bisa bermain di lapangan bagus GBLA sebelum Liga Indonesia dimulai
Bocah Ngunung,5.0,7 tahun lalu,tempatnya keren.. cocok buat lari pagi.. apalagi kalau pas mingu Rame banget karena ada Pasar Tumpah di sepanjang jalan masuk ke GBLA..
Asep Rohmat,5.0,4 bulan lalu,Stadion kebanggaan kota Bandung Home base Persib
Putri Andriani,5.0,4 bulan lalu,Saya memberi bintang lima karna stadion GBLA stadion yng bagus
SEP MARTIN,5.0,6 tahun lalu,Pada hari Minggu dari jam 06:00 s/d 12:00 rame pasar kaget
siti patimah,5.0,3 tahun lalu,Stadion terbesar di bandung biasanya tempat pertandingan sepakbola antara persib dengan lawan dari daerah lain. Kl hari minggu di gbla sangat ramai krn banyak di datangi oleh masyarakat yg akan berolahraga maupun yg belanja dan rekreasi.
T. Donny Arief,5.0,3 tahun lalu,Tempat berolah raga yang cukup baik. Sebaiknya berkunjung pada waktu Minggu pagi👍
Kynuraa31,3.0,Diedit 3 tahun lalu,"Untuk stadion ya lumayan bagus dan luas, tapi untuk tempat ibadah/toilet sangat buruk... Apalagii bnyk tempat yg kotor dan jarang di bersihkan... Goodbye gbla"
AeXoN Gaming,4.0,6 tahun lalu,"Tiap hari minggu ada pasar, sekitar jam 7an. Ada macam-macam barang yang dijual bisa dilihat."
didot9benua,4.0,3 tahun lalu,Stadion tempat Persib bermain....namun sekarang keliatan perawatannnya kurang...jd nampak tidak terurus dengan baik....
Nirman iman (Nirman),5.0,7 tahun lalu,Nyaman buat berolahraga & kalau hr minggu pg ada bazaarnya di sepanjang jalan mau masuk ke stadion
Danang Arief Setiawan,3.0,7 tahun lalu,"mushola didalem gak ada, kudu keluar dulu, toilet komo"
Apuk Hungkul,4.0,Diedit 9 bulan lalu,Stadion gbla sangat megah dan nyaman saat ada pertandingan sangat d nantikan sama bobotoh
Inilah Suara Kita,4.0,6 tahun lalu,"Gelora bandung lautan api, yang setiap hari minngu suka ada pasar kaget."
Menunggu Keajaiban,5.0,2 bulan lalu,Persib Juara
Eighties Clobbers,5.0,Diedit 7 tahun lalu,"Luas, megah, akses tranportasi mudah, dan menanmpung banyak orang"
SRN Comp,5.0,5 tahun lalu,"bagus untuk melakukan kegiatan olahraga, seperti bersepeda, lari, bermain skateboard dll."
Sonara,5.0,2 tahun lalu,"Enak untuk sekedar nongki2, jalan2 sore dll."
stayyessi,5.0,2 bulan lalu,Ramai saat pasar kaget hari minggu
Ayi SOLIHAH INDRASARI,5.0,4 tahun lalu,Tempat lari di hari minggu temta main jajan bandung di hari minggu.. dekat denagn stasiun kereta api loohhh.... Walaupun stadion di tutup tapi masih bolh main di sekitar stadion dekat dengan masjid apung yang sebentar lagi di buka .. yuu main .. Explore bandung ..
YANA SURYANA,5.0,7 tahun lalu,"Pengalaman pertama bisa nonton persib bandung,  saat melawan persipura dengan skor 2-0 persib menang"
Yuni Wahyuni,5.0,7 tahun lalu,"Kebahagiaan yg tak bisa aku lupakan dri perjalan,di tilang smpai kesolidaritasan,bangga mengawal Pesan: Seorang Ledis vikers tidk smua nya kotor Ingat nama blm tentu kotor Di sini kmi dapat mengetahui apa itu arti mengawal kebanggan dan solidaritas persaudaraan"
soffa mustoffa,5.0,8 tahun lalu,"Stadion megah di kota Bandung, berlokasi di wilayah Bandung timur, kandangnya atau home base Persib Bandung, lokasi akses ke stadion ini masih susah, apalagi kalau supportter team tandang ke GBLA, kl yg blm paham bisa nyarinya, sampai nangis Bombay, mudah-mudahan musim 2018 dan seterusnya bisa jadi home base tetap Persib Bandung"
Rara Rarauwan,5.0,8 tahun lalu,"Stadion modern kota Bandung yang sangat liar biasa megah, dengan kapasitas bangku penonton mencapai -+ 40.000, kualitas lapangan luar biasa. Lampu penerangan bagus sekali tidak ada bayangan. Kekuaranya hanya fasilitas toilet, musolah, dan masih banyak pungli. Overall luar biasa."
Full Senyum,5.0,Diedit 3 bulan lalu,enak tribun vbu
Cecep Sudrajat,5.0,setahun lalu,"Cocok untuk jogong trak & kumpul"" comunitas mobil ,parkir luas jajsnan bsnyak pilihan"
Widya Danianto,5.0,3 bulan lalu,Nonton lawan Persija dan menang itu luar biasa lah
Nurul Fitri Fatkhani,4.0,7 tahun lalu,"Setiap hari minggu, tempat ini selain sebagai tempat olah raga juga ada pasar dadakan dan tempat kulineran"
Yeti Nurhayati,4.0,7 bulan lalu,"Hampir tiap hari Ahad jalan kesini sambil olah raga, belanja kadang2 sarapan."
Riky Ramdani,5.0,2 bulan lalu,Tempat paling indah
Bima Arkatama,5.0,3 bulan lalu,Tempat refresing keluarga kami nonton persib 💙
Surfen,5.0,7 tahun lalu,Cuman liat dari tol sih. Kliatannya bagus. Semoga kapan hari bisa kunjung kesana.
Dunia Nada,5.0,6 tahun lalu,Stadion yang strategis terletak di gedebage. Pinggir tol purbaleunyi. Stadion berskala internasional.
Cep san,3.0,7 bulan lalu,Area parkir kotor tidak terawat  ga sesuai tarif
Aji Kusuma Wardani,5.0,Diedit 7 tahun lalu,Sangat Luar Biasa Bagus Sekali Fasilitasnya Standar Internasional banget pokok nyah mah Top Lah No 1 dunia
Vreda Wibisana,4.0,5 tahun lalu,"GLBA, tempat bagus untuk joging, atau bersepeda. Saya kesini hari sabtu, banyak pilihan untuk sarapan pagi tersedia, entah kalo non-weekend."
Iim Rohimah,5.0,6 tahun lalu,Tempat yang indah dan luas.. namun sekarang karna tidak terpakai jd sèakan terlihat kumuh.. kenapa ya.. trus kalo hari minggu kan ada sunday market.. nah sorenya tuh sampah dimana mana disepanjang pinggir jalan penuh dengan sampah... kan sayang 😩
Agnes Emilia,3.0,2 tahun lalu,"Cuma liat dari luar dan keliatan besar sekali geloranya. Ada 2 gerbang masuk, yaitu gerbang merah dan gerbang biru."
Irma Betelguise,4.0,6 tahun lalu,"Seru untuk sepedaan disini, biasanya dipakai untuk tempat latihan TNI, dan latihan orang orang yang belajar motor dan mobil"
DIKMAN SUGILAR,5.0,3 tahun lalu,Stadion yang sangat bagus.. klo PERSIB main pasti kesini
ADANG Jivana 77,5.0,5 tahun lalu,Baik buat olah raga dari senam. Sepada. Lari. Jalan.... Dan kuliner
Dukmin Dum,5.0,6 tahun lalu,Wooooww mantaaaaap stadion terindah di Indonesia melebihi dari yg lain pokoknya
ate muhammad s,5.0,6 bulan lalu,Seru rapi dan tertib.nyaman untuk menonton pertandingan bola.
eddy sumarto,5.0,3 tahun lalu,"Sarana olahraga,  tiap hari minggu ada pasar kaget yg barangnya bagus bagus harga terjangkau.."
Kylma Nyrkki,4.0,6 tahun lalu,"Sabtu pagi mantep buat sepedaan atau lari pagi, klo capek banyak yg jualan juga, sayangnya masih belum rapi"
Sunartie tie,5.0,3 bulan lalu,"Stadion parkir luas,Nyaman,Bersih,Dan Para bobotoh Ramah"
Cece Riyan,5.0,4 bulan lalu,Aku pengen nyetadion tapi belum di verifikasi aplikasi Persib sedih
Poppy Kirana,5.0,4 tahun lalu,Rameee banyak yg jualan tp sayang ga boleh masuk stadionnya
Ayumie Minaru,5.0,9 bulan lalu,Hayu bisa belajar mobil juga di parkiran nya 😁
Mamet Vega,5.0,5 bulan lalu,Stadion terbaik
teguh haryan,4.0,Diedit 4 tahun lalu,Nyaman buat olahraga lari bersepeda pada pagi hari dan sore hari
Yoyok Boediono,4.0,2 tahun lalu,Ok untuk mengembangkan bakat anak2 jabar (kota bandung) untuk jadi atlit sepak bola
Cupi id,5.0,3 tahun lalu,"Buat nongki ada warung kopi depan pintu gedung. Mau belajar mobil, enak. Buat belajar motor, enak. Buat olahraga apalagi.."
farid sutisna,5.0,4 bulan lalu,Bandung kan selalu memelukmu
jamal udin,3.0,6 tahun lalu,"Sayang sekali tempat ini gak ke urus, rumput tinggi-tinggi sampah dimana-mana, gerbang2 mulai karatan dll. Buat yang mempunyai andil, mohon untuk di benahi pak. Sayang dana yg begitu banyak untuk pembuatan tempat ini. Semoga GBLA Maju dan jaya."
Maryadi Abang,5.0,5 tahun lalu,"Berada di timur kota bandung  tentu tempat ini sangat disukai semua orang karena cocok juga untuk jogging, goes atau hanya jalan2 saja."
Bintang Pratama,5.0,4 tahun lalu,Tempatnya enak buat jogging and goes di pgi hari...di samping itu enak banyak penjual yg menjajakan dagangannya
Nazhari,5.0,4 tahun lalu,"Tempat buat olahraga kalau weekend, tpi terganggu dg terlalu bnyak nyaaa pedagang disanaaa sehingga jalan tertutup"
arief budhiman,5.0,5 tahun lalu,Lingkungan sekitarnya harus terurus sehingga fasilitas sekitar GBLA hampir sama dgn GBK Senayan Jakarta bisa dipake jogging di area GBLA
Akhmad Gunawan,4.0,8 tahun lalu,Sebagai stadion kebanggan Jawa Barat. sayang akses jalannya belum selesai
Azwar Kharist Novan Dwiseptian,5.0,8 tahun lalu,"Stadion Gelora bandung lautan api merupakan salah satu stadion yang megah,  elegan dan sesuai standar FIFA yang ada di jawa barat.  Stadion GBLA sendiri menjadi home base bagi tim Persib Bandung"
Mohamad Muchtar,5.0,2 bulan lalu,walaupun belum masuk tapi bagus menurut saya
PUTRA,5.0,4 bulan lalu,Sewa alat lengakap
Rahman Saleh,5.0,2 tahun lalu,Akan lebih jos kalau ada akses jln tol langsung..
Muhammad Rizki Ramadhan,5.0,8 tahun lalu,"Perlu perbaikan utk parkir kendaraan, dan mhn disediakan tempat sampai yang banyak, serta lebih diperhatikan lagi toiletnya karena beberapa toilet keran airnya tidak berfungsi dengan normal."
Yuda Gelar Official,5.0,5 tahun lalu,"Banyak spot untuk berselfie,untuk olahraga seperti bersepeda dan jogging juga untuk pasar minggu dihari minggu"
PuNg PuRwO,4.0,5 tahun lalu,Meskipun tempatnya belom beres pengerjaanya tp cukup bagus suasanan msh asri pedesaan
Herry Tarekat,5.0,7 bulan lalu,Lapangan nya terawat baik...hanya di area luar nya tdk terawat dgn baik
Nci Kucrit Nci,5.0,7 tahun lalu,"Stadion sepak bola . Akses menuju gbla cukup mudah lokasi luas , bisa dijadikan spot poto juga"
Gojek Iwan,5.0,5 tahun lalu,Lapangan bsar cocok untuk jalan bwa anak2..
